"행정구역","2008년01월_총인구수","2008년01월_세대수","2008년01월_남자 인구수","2008년01월_여자 인구수","2008년02월_총인구수","2008년02월_세대수","2008년02월_남자 인구수","2008년02월_여자 인구수","2008년03월_총인구수","2008년03월_세대수","2008년03월_남자 인구수","2008년03월_여자 인구수","2008년04월_총인구수","2008년04월_세대수","2008년04월_남자 인구수","2008년04월_여자 인구수","2008년05월_총인구수","2008년05월_세대수","2008년05월_남자 인구수","2008년05월_여자 인구수","2008년06월_총인구수","2008년06월_세대수","2008년06월_남자 인구수","2008년06월_여자 인구수","2008년07월_총인구수","2008년07월_세대수","2008년07월_남자 인구수","2008년07월_여자 인구수","2008년08월_총인구수","2008년08월_세대수","2008년08월_남자 인구수","2008년08월_여자 인구수","2008년09월_총인구수","2008년09월_세대수","2008년09월_남자 인구수","2008년09월_여자 인구수","2008년10월_총인구수","2008년10월_세대수","2008년10월_남자 인구수","2008년10월_여자 인구수","2008년11월_총인구수","2008년11월_세대수","2008년11월_남자 인구수","2008년11월_여자 인구수","2008년12월_총인구수","2008년12월_세대수","2008년12월_남자 인구수","2008년12월_여자 인구수"
"제주특별자치도  (5000000000)","558,818","212,130","279,055","279,763","559,019","212,579","279,189","279,830","559,151","212,626","279,215","279,936","559,407","212,967","279,341","280,066","559,540","213,145","279,359","280,181","559,722","213,353","279,427","280,295","560,266","213,695","279,739","280,527","560,372","213,763","279,871","280,501","560,472","213,937","279,965","280,507","560,489","214,145","280,000","280,489","560,617","214,413","280,041","280,576","560,618","214,681","280,088","280,530"
"제주특별자치도 제주시 (5011000000)","405,454","153,365","201,928","203,526","405,953","153,827","202,212","203,741","406,132","153,841","202,285","203,847","406,458","154,171","202,450","204,008","406,509","154,275","202,464","204,045","406,667","154,413","202,518","204,149","407,145","154,691","202,803","204,342","407,198","154,712","202,900","204,298","407,269","154,811","202,954","204,315","407,283","154,975","202,988","204,295","407,411","155,163","203,021","204,390","407,498","155,398","203,107","204,391"
"제주특별자치도 서귀포시 (5013000000)","153,364","58,765","77,127","76,237","153,066","58,752","76,977","76,089","153,019","58,785","76,930","76,089","152,949","58,796","76,891","76,058","153,031","58,870","76,895","76,136","153,055","58,940","76,909","76,146","153,121","59,004","76,936","76,185","153,174","59,051","76,971","76,203","153,203","59,126","77,011","76,192","153,206","59,170","77,012","76,194","153,206","59,250","77,020","76,186","153,120","59,283","76,981","76,139"
