"행정구역","2022년01월_총인구수","2022년01월_세대수","2022년01월_남자 인구수","2022년01월_여자 인구수","2022년02월_총인구수","2022년02월_세대수","2022년02월_남자 인구수","2022년02월_여자 인구수","2022년03월_총인구수","2022년03월_세대수","2022년03월_남자 인구수","2022년03월_여자 인구수","2022년04월_총인구수","2022년04월_세대수","2022년04월_남자 인구수","2022년04월_여자 인구수","2022년05월_총인구수","2022년05월_세대수","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년06월_총인구수","2022년06월_세대수","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년07월_총인구수","2022년07월_세대수","2022년07월_남자 인구수","2022년07월_여자 인구수","2022년08월_총인구수","2022년08월_세대수","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년09월_총인구수","2022년09월_세대수","2022년09월_남자 인구수","2022년09월_여자 인구수","2022년10월_총인구수","2022년10월_세대수","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년11월_총인구수","2022년11월_세대수","2022년11월_남자 인구수","2022년11월_여자 인구수","2022년12월_총인구수","2022년12월_세대수","2022년12월_남자 인구수","2022년12월_여자 인구수"
"제주특별자치도  (5000000000)","676,691","307,819","339,071","337,620","677,143","308,530","339,248","337,895","677,218","308,988","339,320","337,898","677,413","309,322","339,383","338,030","677,766","309,822","339,578","338,188","678,012","310,265","339,697","338,315","678,491","310,747","339,951","338,540","679,016","311,272","340,105","338,911","678,426","311,115","339,801","338,625","678,324","311,251","339,731","338,593","678,373","311,303","339,758","338,615","678,159","311,355","339,590","338,569"
"제주특별자치도 제주시 (5011000000)","492,919","220,126","246,352","246,567","492,919","220,558","246,383","246,536","493,023","220,899","246,449","246,574","493,076","221,135","246,450","246,626","493,275","221,471","246,548","246,727","493,538","221,890","246,672","246,866","493,898","222,251","246,826","247,072","494,059","222,610","246,892","247,167","493,575","222,460","246,644","246,931","493,459","222,496","246,594","246,865","493,543","222,554","246,655","246,888","493,389","222,599","246,504","246,885"
"제주특별자치도 서귀포시 (5013000000)","183,772","87,693","92,719","91,053","184,224","87,972","92,865","91,359","184,195","88,089","92,871","91,324","184,337","88,187","92,933","91,404","184,491","88,351","93,030","91,461","184,474","88,375","93,025","91,449","184,593","88,496","93,125","91,468","184,957","88,662","93,213","91,744","184,851","88,655","93,157","91,694","184,865","88,755","93,137","91,728","184,830","88,749","93,103","91,727","184,770","88,756","93,086","91,684"
