"행정구역","2013년01월_총인구수","2013년01월_세대수","2013년01월_남자 인구수","2013년01월_여자 인구수","2013년02월_총인구수","2013년02월_세대수","2013년02월_남자 인구수","2013년02월_여자 인구수","2013년03월_총인구수","2013년03월_세대수","2013년03월_남자 인구수","2013년03월_여자 인구수","2013년04월_총인구수","2013년04월_세대수","2013년04월_남자 인구수","2013년04월_여자 인구수","2013년05월_총인구수","2013년05월_세대수","2013년05월_남자 인구수","2013년05월_여자 인구수","2013년06월_총인구수","2013년06월_세대수","2013년06월_남자 인구수","2013년06월_여자 인구수","2013년07월_총인구수","2013년07월_세대수","2013년07월_남자 인구수","2013년07월_여자 인구수","2013년08월_총인구수","2013년08월_세대수","2013년08월_남자 인구수","2013년08월_여자 인구수","2013년09월_총인구수","2013년09월_세대수","2013년09월_남자 인구수","2013년09월_여자 인구수","2013년10월_총인구수","2013년10월_세대수","2013년10월_남자 인구수","2013년10월_여자 인구수","2013년11월_총인구수","2013년11월_세대수","2013년11월_남자 인구수","2013년11월_여자 인구수","2013년12월_총인구수","2013년12월_세대수","2013년12월_남자 인구수","2013년12월_여자 인구수"
"제주특별자치도  (5000000000)","584,045","232,399","292,406","291,639","585,231","233,083","293,063","292,168","586,149","233,714","293,568","292,581","587,153","234,350","294,123","293,030","588,001","234,807","294,503","293,498","588,618","235,239","294,753","293,865","589,622","235,826","295,300","294,322","590,450","236,362","295,728","294,722","591,341","236,867","296,180","295,161","592,199","237,498","296,622","295,577","593,004","237,959","297,098","295,906","593,806","238,465","297,504","296,302"
"제주특별자치도 제주시 (5011000000)","430,061","168,860","214,791","215,270","431,031","169,392","215,293","215,738","431,716","169,838","215,676","216,040","432,613","170,317","216,219","216,394","433,397","170,659","216,570","216,827","433,920","171,008","216,780","217,140","434,735","171,439","217,209","217,526","435,396","171,847","217,541","217,855","436,093","172,244","217,902","218,191","436,812","172,698","218,293","218,519","437,515","173,026","218,687","218,828","438,165","173,370","219,029","219,136"
"제주특별자치도 서귀포시 (5013000000)","153,984","63,539","77,615","76,369","154,200","63,691","77,770","76,430","154,433","63,876","77,892","76,541","154,540","64,033","77,904","76,636","154,604","64,148","77,933","76,671","154,698","64,231","77,973","76,725","154,887","64,387","78,091","76,796","155,054","64,515","78,187","76,867","155,248","64,623","78,278","76,970","155,387","64,800","78,329","77,058","155,489","64,933","78,411","77,078","155,641","65,095","78,475","77,166"
