사용월,호선명,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
,,,승차,하차,승차,하차
2023-03,6호선,역촌,"17,551","2,678","18,472","8,528"
2023-03,6호선,불광,"12,795","4,105","14,532","7,902"
2023-03,6호선,독바위,"15,735","1,761","14,116","3,020"
2023-03,6호선,연신내,2,0,3,0
2023-03,6호선,구산,"34,843","8,052","41,314","7,548"
2023-03,6호선,새절(신사),"58,016","8,928","69,297","15,993"
2023-03,6호선,증산(명지대앞),"43,935","5,583","52,539","11,232"
2023-03,6호선,디지털미디어시티,"55,525","32,613","60,336","76,239"
2023-03,6호선,월드컵경기장(성산),"9,098","5,015","10,110","8,617"
2023-03,6호선,마포구청,"44,872","15,639","60,523","36,742"
2023-03,6호선,망원,"29,730","10,354","40,602","34,235"
2023-03,6호선,합정,"15,946","17,920","22,636","46,759"
2023-03,6호선,상수,"10,992","7,446","14,981","26,910"
2023-03,6호선,광흥창(서강),"22,529","16,384","29,632","37,948"
2023-03,6호선,대흥(서강대앞),"17,191","17,146","24,132","44,252"
2023-03,6호선,공덕,"22,846","41,999","34,097","109,679"
2023-03,6호선,효창공원앞,"18,646","8,710","28,744","28,783"
2023-03,6호선,삼각지,"9,341","15,583","14,989","30,537"
2023-03,6호선,녹사평(용산구청),"5,534","10,242","8,471","18,251"
2023-03,6호선,이태원,"9,860","12,230","15,107","32,125"
2023-03,6호선,한강진,"3,633","23,038","5,972","46,295"
2023-03,6호선,버티고개,"5,691","2,581","8,549","5,765"
2023-03,6호선,약수,"5,084","6,433","8,097","17,458"
2023-03,6호선,청구,"8,001","7,319","11,029","24,708"
2023-03,6호선,신당,"7,809","17,542","12,767","39,952"
2023-03,6호선,동묘앞,"10,899","8,472","16,490","26,223"
2023-03,6호선,창신,"16,115","7,548","18,312","7,339"
2023-03,6호선,보문,"24,489","10,937","36,815","21,676"
2023-03,6호선,안암(고대병원앞),"10,289","19,293","14,013","68,715"
2023-03,6호선,고려대(종암),"23,267","12,862","29,607","33,811"
2023-03,6호선,월곡(동덕여대),"44,948","8,365","52,246","33,411"
2023-03,6호선,상월곡(한국과학기술연구원),"27,224","3,875","30,973","15,342"
2023-03,6호선,돌곶이,"43,157","5,981","46,085","19,259"
2023-03,6호선,석계,"53,573","8,876","59,367","18,055"
2023-03,6호선,태릉입구,"19,566","4,417","23,923","11,798"
2023-03,6호선,화랑대(서울여대입구),"67,207","8,895","61,219","21,486"
2023-03,6호선,봉화산(서울의료원),"52,943","5,991","43,169","14,383"
2023-03,6호선,신내,0,0,1,0
2023-03,7호선,장암,"19,375","1,364","11,449","1,802"
2023-03,7호선,도봉산,"54,241","8,739","44,714","17,578"
2023-03,7호선,수락산,"52,379","8,637","53,889","18,563"
2023-03,7호선,마들,"70,003","9,919","68,333","12,766"
2023-03,7호선,노원,"42,789","20,527","44,943","48,502"
2023-03,7호선,중계,"68,316","19,228","69,747","31,621"
2023-03,7호선,하계,"75,192","19,252","78,617","30,369"
2023-03,7호선,공릉(서울과학기술대),"39,704","12,672","44,469","29,384"
2023-03,7호선,태릉입구,"24,117","9,335","30,407","23,435"
2023-03,7호선,먹골,"39,177","6,413","48,637","17,247"
2023-03,7호선,중화,"41,576","9,168","50,481","24,839"
2023-03,7호선,상봉(시외버스터미널),"57,823","14,242","77,959","29,807"
2023-03,7호선,면목,"63,105","9,486","77,566","35,880"
2023-03,7호선,사가정,"61,112","11,859","76,226","28,055"
2023-03,7호선,용마산(용마폭포공원),"26,204","4,175","31,197","10,790"
2023-03,7호선,중곡,"34,967","16,748","48,130","30,263"
2023-03,7호선,군자(능동),"39,851","9,917","62,311","31,222"
2023-03,7호선,어린이대공원(세종대),"21,521","17,237","34,882","85,304"
2023-03,7호선,건대입구,"13,850","20,619","20,820","46,649"
2023-03,7호선,뚝섬유원지,"23,773","6,815","32,951","14,533"
2023-03,7호선,청담,"12,295","66,824","16,830","157,705"
2023-03,7호선,강남구청,"7,850","36,903","11,139","114,248"
2023-03,7호선,학동,"9,148","57,214","12,771","195,183"
2023-03,7호선,논현,"9,065","44,075","14,097","109,915"
2023-03,7호선,반포,"9,008","13,840","12,682","20,500"
2023-03,7호선,고속터미널,"11,915","37,850","19,331","53,818"
2023-03,7호선,내방,"20,730","26,847","31,912","91,099"
2023-03,7호선,이수,"30,822","15,993","47,434","44,282"
2023-03,7호선,남성,"43,336","7,443","61,758","17,753"
2023-03,7호선,숭실대입구(살피재),"42,300","8,976","53,316","42,220"
2023-03,7호선,상도,"38,686","9,131","48,136","31,887"
2023-03,7호선,장승배기,"28,375","8,236","41,874","17,508"
2023-03,7호선,신대방삼거리,"58,393","9,750","83,828","19,223"
2023-03,7호선,보라매,"19,969","10,615","28,563","24,872"
2023-03,7호선,신풍,"44,480","12,875","54,829","20,007"
2023-03,7호선,대림(구로구청),"16,095","7,179","23,646","19,170"
2023-03,7호선,남구로,"32,320","32,831","38,335","102,453"
2023-03,7호선,가산디지털단지,"24,158","133,724","27,737","405,846"
2023-03,7호선,철산,"93,571","17,365","93,824","35,651"
2023-03,7호선,광명사거리,"84,543","17,615","95,205","26,613"
2023-03,7호선,천왕,"58,813","9,763","64,455","17,399"
2023-03,7호선,온수(성공회대입구),"50,649","11,877","56,737","22,749"
2023-03,7호선,까치울,0,0,0,0
2023-03,7호선,신중동,0,0,0,0
2023-03,7호선,부천시청,0,0,0,0
2023-03,7호선,상동,0,0,0,0
2023-03,7호선,굴포천,0,0,0,0
2023-03,8호선,암사,"89,627","9,647","114,208","20,072"
2023-03,8호선,천호(풍납토성),"45,047","15,341","61,133","30,561"
2023-03,8호선,강동구청,"35,302","15,515","45,802","35,244"
2023-03,8호선,몽촌토성(평화의문),"13,057","13,565","19,820","30,359"
2023-03,8호선,잠실(송파구청),"9,734","34,626","14,225","84,958"
2023-03,8호선,석촌,"17,655","9,101","25,135","21,699"
2023-03,8호선,송파,"33,141","12,044","38,641","19,323"
2023-03,8호선,가락시장,"11,214","14,753","14,405","40,975"
2023-03,8호선,문정,"25,206","58,234","35,606","181,411"
2023-03,8호선,장지,"51,748","31,228","63,220","51,556"
2023-03,8호선,복정,"30,106","11,938","39,698","20,289"
2023-03,8호선,산성,"24,998","3,268","27,843","10,235"
2023-03,8호선,남한산성입구(성남법원.검찰청),"60,174","11,719","72,524","34,846"
2023-03,8호선,단대오거리,"53,065","12,258","60,533","25,557"
2023-03,8호선,신흥,"18,889","3,972","23,969","7,210"
2023-03,8호선,수진,"17,451","6,810","24,915","12,409"
2023-03,8호선,모란,"9,324","5,316","12,081","11,685"
2023-03,8호선,남위례,"20,271","7,854","24,736","26,987"
2023-03,9호선,개화,"19,241","3,461","12,355","5,204"
2023-03,9호선,김포공항,"7,137","19,488","10,721","21,141"
2023-03,9호선,공항시장,"11,010","2,043","11,927","4,376"
2023-03,9호선,신방화,"32,121","5,559","30,334","12,480"
2023-03,9호선,마곡나루(서울식물원),"34,269","20,848","34,292","55,941"
2023-03,9호선,양천향교,"34,284","12,214","34,762","44,234"
2023-03,9호선,가양,"85,229","31,593","86,678","52,698"
2023-03,9호선,증미,"24,630","9,700","26,933","45,341"
2023-03,9호선,등촌,"50,537","7,546","61,585","18,443"
2023-03,9호선,염창,"88,239","8,967","93,485","22,711"
2023-03,9호선,신목동,"23,621","3,611","21,891","6,639"
2023-03,9호선,선유도,"23,953","16,607","28,673","44,918"
2023-03,9호선,당산,"59,349","17,424","68,671","50,191"
2023-03,9호선,국회의사당,"4,703","47,551","7,724","155,939"
2023-03,9호선,여의도,"9,350","147,416","11,377","181,527"
2023-03,9호선,샛강,"5,608","17,038","7,225","41,255"
2023-03,9호선,노량진,"71,495","39,861","100,940","63,381"
2023-03,9호선,노들,"18,760","2,427","23,728","4,597"
2023-03,9호선,흑석(중앙대입구),"18,371","13,540","22,545","36,023"
2023-03,9호선,동작(현충원),"5,327","1,846","6,188","3,182"
2023-03,9호선,구반포,"1,435","2,739","1,944","4,220"
2023-03,9호선,신반포,"6,859","8,653","8,524","10,437"
2023-03,9호선,고속터미널,"18,944","20,899","24,423","30,299"
2023-03,9호선,사평,"12,292","5,821","15,056","8,560"
2023-03,9호선,신논현,"34,394","41,871","46,810","93,158"
2023-03,공항철도 1호선,서울역,"12,416","22,364","16,065","30,159"
2023-03,공항철도 1호선,공덕,"6,881","4,256","6,533","11,854"
2023-03,공항철도 1호선,홍대입구,"11,691","10,830","14,551","26,709"
2023-03,공항철도 1호선,디지털미디어시티,"21,606","32,957","22,485","98,130"
2023-03,공항철도 1호선,마곡나루(서울식물원),"16,342","31,765","17,303","74,917"
2023-03,공항철도 1호선,김포공항,"7,188","22,959","15,505","20,451"
2023-03,공항철도 1호선,계양,"79,739","5,069","63,008","7,281"
2023-03,공항철도 1호선,검암,"38,295","8,022","27,862","15,500"
2023-03,공항철도 1호선,청라국제도시,"34,935","8,179","22,458","19,330"
2023-03,공항철도 1호선,운서,"32,157","12,267","29,016","13,160"
2023-03,공항철도 1호선,공항화물청사,"2,151","13,246","2,403","23,274"
2023-03,공항철도 1호선,인천공항1터미널,"15,383","34,533","18,476","31,073"
2023-03,공항철도 1호선,인천공항2터미널,"5,976","13,896","7,226","16,922"
2023-03,공항철도 1호선,영종,"16,237","3,145","12,112","4,083"
2023-03,9호선2~3단계,언주,"7,361","22,521","10,764","69,166"
2023-03,9호선2~3단계,선정릉,"8,767","20,533","10,826","69,251"
2023-03,9호선2~3단계,삼성중앙,"6,677","18,138","8,196","47,552"
2023-03,9호선2~3단계,봉은사,"10,232","43,031","11,418","121,134"
2023-03,9호선2~3단계,종합운동장,"10,714","5,767","12,298","13,160"
2023-03,9호선2~3단계,삼전,"22,918","4,369","36,572","13,130"
2023-03,9호선2~3단계,석촌고분,"19,004","5,912","31,823","16,779"
2023-03,9호선2~3단계,석촌,"25,877","5,732","35,029","13,326"
2023-03,9호선2~3단계,송파나루,"13,880","4,716","19,702","13,347"
2023-03,9호선2~3단계,한성백제,"8,053","3,282","10,864","8,221"
2023-03,9호선2~3단계,올림픽공원(한국체대),"17,494","7,085","22,369","19,821"
2023-03,9호선2~3단계,둔촌오륜,"3,683","4,445","4,324","2,537"
2023-03,9호선2~3단계,중앙보훈병원,"49,607","13,217","51,014","21,294"
2023-03,우이신설선,북한산우이,"9,921","2,818","11,128","7,331"
2023-03,우이신설선,솔밭공원,"11,912","1,559","12,165","3,304"
2023-03,우이신설선,4.19민주묘지,"9,792","2,057","10,979","15,546"
2023-03,우이신설선,가오리,"18,798","3,013","19,604","6,142"
2023-03,우이신설선,화계,"15,129","2,571","15,350","5,620"
2023-03,우이신설선,삼양,"7,609","1,514","8,071","3,613"
2023-03,우이신설선,삼양사거리,"8,650","2,458","10,133","4,220"
2023-03,우이신설선,솔샘,"33,268","4,116","31,356","4,747"
2023-03,우이신설선,북한산보국문,"23,235","5,869","25,307","13,065"
2023-03,우이신설선,정릉,"15,587","3,608","17,855","7,931"
2023-03,우이신설선,성신여대입구(돈암),"4,084","4,409","7,599","11,455"
2023-03,우이신설선,보문,"2,284","3,819","4,535","5,458"
2023-03,우이신설선,신설동,"1,399","6,043","2,804","13,147"
2023-03,신림선,샛강,"1,571","11,839","2,720","26,972"
2023-03,신림선,대방,"6,339","2,864","11,156","5,319"
2023-03,신림선,서울지방병무청,"9,901","4,233","13,683","6,018"
2023-03,신림선,보라매,"8,715","5,367","13,336","13,388"
2023-03,신림선,보라매공원,"6,052","4,574","6,639","8,341"
2023-03,신림선,보라매병원,"7,172","15,764","8,367","50,315"
2023-03,신림선,당곡,"13,343","3,517","19,016","8,344"
2023-03,신림선,신림,"4,014","1,459","7,272","2,753"
2023-03,신림선,서원,"14,058","1,115","20,731","2,168"
2023-03,신림선,서울대벤처타운,"31,874","6,012","43,094","9,337"
2023-03,신림선,관악산(서울대),"5,465","4,627","6,112","13,674"
