사용월,호선명,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
,,,승차,하차,승차,하차
2023-03,4호선,쌍문,"137,926","15,529","137,134","28,882"
2023-03,4호선,수유(강북구청),"124,584","21,850","132,440","60,020"
2023-03,4호선,미아(서울사이버대학),"50,130","19,693","55,278","41,361"
2023-03,4호선,미아사거리,"101,739","20,577","106,101","33,953"
2023-03,4호선,길음,"97,174","15,911","93,492","40,953"
2023-03,4호선,성신여대입구(돈암),"51,024","18,120","56,351","50,521"
2023-03,4호선,한성대입구(삼선교),"33,369","20,409","39,270","37,451"
2023-03,4호선,혜화,"18,387","54,177","22,897","132,304"
2023-03,4호선,동대문,"5,473","36,512","8,034","75,574"
2023-03,4호선,동대문역사문화공원(DDP),"8,782","29,080","13,751","70,432"
2023-03,4호선,충무로,"10,968","60,190","17,942","194,966"
2023-03,4호선,명동,"7,618","55,598","16,131","135,110"
2023-03,4호선,회현(남대문시장),"5,378","56,338","9,074","147,795"
2023-03,4호선,서울역,"13,767","42,325","17,084","90,361"
2023-03,4호선,숙대입구(갈월),"19,665","25,750","28,606","60,516"
2023-03,4호선,삼각지,"7,961","13,526","11,069","21,984"
2023-03,4호선,신용산,"13,313","37,655","18,553","98,641"
2023-03,4호선,이촌(국립중앙박물관),"14,418","15,046","18,111","30,262"
2023-03,4호선,동작(현충원),"2,083","3,425","2,677","5,410"
2023-03,4호선,총신대입구(이수),"52,496","19,735","64,327","46,106"
2023-03,4호선,사당,"76,775","28,417","86,886","40,810"
2023-03,4호선,남태령,"2,559","5,208","4,472","6,288"
2023-03,경부선,서울역,"11,861","6,106","21,963","6,553"
2023-03,경부선,남영,"14,625","27,959","21,480","60,493"
2023-03,경부선,용산,"22,339","83,115","35,263","164,381"
2023-03,경부선,노량진,"19,331","9,220","26,893","16,445"
2023-03,경부선,대방,"29,080","33,044","36,135","47,271"
2023-03,경부선,영등포,"44,398","64,423","60,699","137,861"
2023-03,경부선,신도림,"10,066","7,007","11,390","16,457"
2023-03,경부선,신길,"27,433","19,654","35,666","30,619"
2023-03,경부선,구로,"41,436","33,479","40,097","77,222"
2023-03,경부선,가산디지털단지,"17,074","61,012","16,635","162,958"
2023-03,경부선,금천구청,"51,778","16,089","47,776","31,382"
2023-03,경부선,석수,"42,127","13,153","39,732","16,934"
2023-03,경부선,관악,"38,880","6,999","35,824","11,810"
2023-03,경부선,안양,"94,370","24,052","84,565","63,797"
2023-03,경부선,명학,"28,696","27,148","24,639","66,110"
2023-03,경부선,금정,"103,283","46,807","102,891","97,313"
2023-03,경부선,군포,"20,675","34,345","20,545","47,296"
2023-03,경부선,의왕,"32,002","32,734","32,256","34,071"
2023-03,경부선,성균관대,"77,873","11,022","62,760","31,741"
2023-03,경부선,화서,"49,459","6,741","38,774","12,031"
2023-03,경부선,수원,"83,497","59,814","81,296","90,919"
2023-03,경부선,독산,"53,295","50,324","49,350","110,352"
2023-03,경부선,세류,"17,427","4,570","11,902","3,986"
2023-03,경부선,병점,"62,783","22,733","52,032","41,233"
2023-03,경부선,세마,"12,360","4,790","10,990","11,026"
2023-03,경부선,오산대,"15,517","4,025","12,386","13,853"
2023-03,경부선,오산,"31,125","29,059","31,520","22,990"
2023-03,경부선,진위,"3,343","9,946","3,253","9,837"
2023-03,경부선,송탄,"14,761","7,477","13,744","9,478"
2023-03,경부선,서정리,"19,613","19,778","18,637","25,814"
2023-03,경부선,평택지제,"13,000","15,167","11,102","8,713"
2023-03,경부선,평택,"34,315","18,024","34,424","32,317"
2023-03,경부선,성환,"7,462","13,130","7,192","27,450"
2023-03,경부선,직산,"2,317","3,304","2,172","4,031"
2023-03,경부선,두정,"20,242","13,700","18,955","30,612"
2023-03,경부선,천안,"13,008","7,400","11,873","19,000"
2023-03,경부선,당정,"28,659","9,529","27,316","19,430"
2023-03,경부선,서동탄,"11,454","1,716","4,207","1,477"
2023-03,경부선,광명,"13,086","6,895","11,312","7,609"
2023-03,경인선,개봉,"105,387","15,562","96,243","24,252"
2023-03,경인선,오류동,"55,369","5,700","55,415","12,037"
2023-03,경인선,역곡,"128,743","15,001","124,172","44,070"
2023-03,경인선,부천,"114,575","19,503","112,953","56,121"
2023-03,경인선,송내,"120,100","32,067","99,462","83,259"
2023-03,경인선,부평,"90,462","21,450","84,967","34,825"
2023-03,경인선,백운,"30,457","4,911","27,679","9,739"
2023-03,경인선,동암,"68,419","13,964","64,727","17,534"
2023-03,경인선,주안,"67,161","20,296","61,744","33,308"
2023-03,경인선,제물포,"42,324","15,897","36,828","38,397"
2023-03,경인선,동인천,"46,600","24,963","37,088","35,840"
2023-03,경인선,인천,"6,490","6,744","5,773","9,254"
2023-03,경인선,구일,"29,997","10,100","26,125","17,785"
2023-03,경인선,소사,"33,005","8,726","29,867","15,384"
2023-03,경인선,부개,"45,580","6,463","37,604","11,381"
2023-03,경인선,간석,"26,831","4,820","21,546","10,406"
2023-03,경인선,도원,"8,540","7,868","7,784","23,554"
2023-03,경인선,온수(성공회대입구),"25,335","11,103","22,832","15,885"
2023-03,경인선,중동,"48,549","5,445","38,605","13,284"
2023-03,경인선,도화,"18,350","4,441","15,599","7,244"
2023-03,경원선,이촌(국립중앙박물관),"9,398","4,853","10,556","9,262"
2023-03,경원선,서빙고,"3,490","5,164","4,221","9,730"
2023-03,경원선,한남,"4,734","11,722","5,891","15,278"
2023-03,경원선,옥수,66,37,114,271
2023-03,경원선,응봉,"8,510","1,765","8,663","2,790"
2023-03,경원선,왕십리(성동구청),"29,230","13,344","45,398","25,671"
2023-03,경원선,청량리(서울시립대입구),"29,875","17,252","46,324","27,313"
2023-03,경원선,외대앞,"21,098","5,387","24,880","34,165"
2023-03,경원선,신이문,"39,127","4,378","42,433","8,646"
2023-03,경원선,석계,"25,845","5,498","30,034","10,352"
2023-03,경원선,광운대,"32,895","6,678","30,116","27,757"
2023-03,경원선,월계,"28,346","9,058","25,926","17,799"
2023-03,경원선,녹천,"23,317","5,556","21,399","5,422"
2023-03,경원선,창동,0,0,3,0
2023-03,경원선,방학,"38,606","10,052","33,779","21,644"
2023-03,경원선,도봉,"21,692","4,303","19,587","10,517"
2023-03,경원선,도봉산,"23,162","4,570","22,498","8,955"
2023-03,경원선,망월사,"30,818","5,296","29,640","28,862"
2023-03,경원선,회룡,"62,436","8,944","52,743","13,398"
2023-03,경원선,의정부,"55,176","13,833","52,141","37,096"
2023-03,경원선,가능,"27,131","8,025","24,145","16,857"
2023-03,경원선,녹양,"19,849","5,567","17,005","9,973"
2023-03,경원선,양주,"33,843","11,163","27,023","12,377"
2023-03,경원선,덕계,"19,890","4,359","17,658","7,242"
2023-03,경원선,덕정,"20,316","10,611","20,793","20,937"
2023-03,경원선,지행,"24,707","6,086","25,468","13,757"
2023-03,경원선,동두천중앙,"9,006","4,364","9,437","10,729"
2023-03,경원선,보산,"4,648","3,039","4,145","2,942"
2023-03,경원선,동두천,"5,555","7,531","6,983","8,241"
2023-03,경원선,소요산,"3,364","2,082","5,169","3,587"
2023-03,안산선,산본,"61,750","15,976","57,835","31,492"
2023-03,안산선,대야미,"20,398","5,835","21,942","9,044"
2023-03,안산선,반월,"19,052","4,151","17,544","8,460"
2023-03,안산선,상록수,"73,061","14,131","69,111","24,797"
2023-03,안산선,한대앞,"34,746","9,361","29,848","28,977"
2023-03,안산선,중앙,"64,578","18,276","55,249","40,585"
2023-03,안산선,고잔,"34,130","14,194","26,622","29,662"
2023-03,안산선,초지,"25,424","9,385","19,526","12,112"
2023-03,안산선,안산,"23,646","41,091","24,250","35,904"
2023-03,안산선,신길온천,"8,757","3,584","7,206","2,855"
2023-03,안산선,정왕,"22,348","26,631","20,021","42,695"
2023-03,안산선,오이도,"36,590","12,828","29,600","14,692"
2023-03,안산선,수리산,"20,160","4,766","19,356","7,705"
2023-03,과천선,선바위,"18,791","21,344","20,451","29,431"
2023-03,과천선,경마공원,"2,200","4,224","2,673","11,734"
2023-03,과천선,대공원,713,"4,582","1,068","10,763"
2023-03,과천선,과천,"31,823","5,401","28,077","9,298"
2023-03,과천선,정부과천청사,"22,781","28,434","20,722","81,147"
2023-03,과천선,인덕원,"87,060","44,743","75,129","109,417"
2023-03,과천선,평촌,"66,753","36,964","51,067","94,159"
2023-03,과천선,범계,"103,913","25,018","84,311","64,778"
2023-03,분당선,선릉,"5,990","46,476","7,823","145,980"
2023-03,분당선,한티,"26,205","31,578","32,011","51,910"
2023-03,분당선,도곡,"11,679","16,701","17,063","26,198"
2023-03,분당선,구룡,"4,764","12,248","6,517","6,495"
2023-03,분당선,개포동,"12,217","7,643","13,722","11,450"
2023-03,분당선,대모산입구,"21,805","6,558","22,632","11,985"
2023-03,분당선,수서,"27,880","30,456","43,634","49,048"
2023-03,분당선,복정,0,0,0,0
2023-03,분당선,수원,"26,685","10,167","26,904","16,128"
2023-03,분당선,서울숲,"13,858","25,512","24,277","48,781"
2023-03,분당선,압구정로데오,"6,272","27,552","9,360","82,597"
2023-03,분당선,강남구청,"8,495","16,708","11,564","59,132"
2023-03,분당선,선정릉,"5,280","13,934","7,914","53,729"
2023-03,분당선,가천대,"20,157","7,652","27,354","50,552"
2023-03,분당선,태평,"45,883","8,663","66,159","18,813"
2023-03,분당선,모란,"58,877","24,908","72,820","39,314"
2023-03,분당선,야탑,"61,238","44,913","68,072","106,258"
2023-03,분당선,서현,"40,609","35,972","45,848","89,653"
2023-03,분당선,수내,"20,539","27,494","27,153","65,691"
2023-03,분당선,정자,"33,413","46,308","37,877","85,921"
2023-03,분당선,미금,"29,535","22,695","35,056","48,007"
2023-03,분당선,오리,"32,951","16,026","36,265","36,973"
2023-03,분당선,이매,"17,178","13,443","17,931","17,067"
2023-03,분당선,보정,"10,408","3,194","11,242","7,910"
2023-03,분당선,죽전,"48,066","18,459","44,161","36,479"
2023-03,분당선,구성,"24,063","4,672","24,615","9,069"
2023-03,분당선,신갈,"22,458","2,756","22,804","7,154"
2023-03,분당선,기흥,"42,539","14,333","43,329","34,389"
2023-03,분당선,상갈,"22,983","7,459","25,495","11,460"
2023-03,분당선,청명,"21,783","6,034","21,117","11,252"
2023-03,분당선,영통,"20,531","11,327","23,723","29,544"
2023-03,분당선,망포,"65,956","26,571","61,764","45,499"
2023-03,분당선,매탄권선,"25,488","5,253","24,326","15,563"
2023-03,분당선,수원시청,"34,301","18,970","35,579","53,235"
